person1_word_idx,person2_word_idx,sentence,tokens,person1_right_tokens,person2_right_tokens,between_tokens,Label
"(1, 2)","(7, 8)","With Dellen Millard, 30, and Mark Smich, 27, in the prisoners’ box for preliminary proceedings ahead of their first-degree murder trial, Justice James Turnbull, the region’s senior judge, informed court that all hearings in the case would be postponed until next Monday.   ","['With', 'Dellen', 'Millard', ',', '30', ',', 'and', 'Mark', 'Smich', ',', '27', ',', 'in', 'the', 'prisoners’', 'box', 'for', 'preliminary', 'proceedings', 'ahead', 'of', 'their', 'first', '-', 'degree', 'murder', 'trial', ',', 'Justice', 'James', 'Turnbull', ',', 'the', 'region', '’s', 'senior', 'judge', ',', 'informed', 'court', 'that', 'all', 'hearings', 'in', 'the', 'case', 'would', 'be', 'postponed', 'until', 'next', 'Monday', '.', '']","[',', '30', ',', 'and']","[',', '27', ',', 'in']","[',', '30', ',', 'and']",0
"(0, 0)","(9, 10)","John is in Ukraine, where he met President Petro Poroshenko and called for the country to give greater support to the gay community.
","['John', 'is', 'in', 'Ukraine', ',', 'where', 'he', 'met', 'President', 'Petro', 'Poroshenko', 'and', 'called', 'for', 'the', 'country', 'to', 'give', 'greater', 'support', 'to', 'the', 'gay', 'community', '.', '']","['is', 'in', 'Ukraine', ',']","['and', 'called', 'for', 'the']","['is', 'in', 'Ukraine', ',', 'where', 'he', 'met', 'President']",0
"(5, 5)","(68, 68)","1 Serena Williams considers sister Venus 'the best player in the tournament'    * Beat Martina Hingis in the U.S. Open final in 1999, becoming the first African American woman to win a grand slam singles title since Althea Gibson in 1958.   * Failed to make another grand slam final until 2001 when she lost in the U.S. Open final to older sister Venus.   *","['1', 'Serena', 'Williams', 'considers', 'sister', 'Venus', '', 'the', 'best', 'player', 'in', 'the', 'tournament', '', '', '*', 'Beat', 'Martina', 'Hingis', 'in', 'the', 'U.S.', 'Open', 'final', 'in', '1999', ',', 'becoming', 'the', 'first', 'African', 'American', 'woman', 'to', 'win', 'a', 'grand', 'slam', 'singles', 'title', 'since', 'Althea', 'Gibson', 'in', '1958', '.', '', '*', 'Failed', 'to', 'make', 'another', 'grand', 'slam', 'final', 'until', '2001', 'when', 'she', 'lost', 'in', 'the', 'U.S.', 'Open', 'final', 'to', 'older', 'sister', 'Venus', '.', '', '*']","['', 'the', 'best', 'player']","['.', '', '*']","['', 'the', 'best', 'player', 'in', 'the', 'tournament', '', '', '*', 'Beat', 'Martina', 'Hingis', 'in', 'the', 'U.S.', 'Open', 'final', 'in', '1999', ',', 'becoming', 'the', 'first', 'African', 'American', 'woman', 'to', 'win', 'a', 'grand', 'slam', 'singles', 'title', 'since', 'Althea', 'Gibson', 'in', '1958', '.', '', '*', 'Failed', 'to', 'make', 'another', 'grand', 'slam', 'final', 'until', '2001', 'when', 'she', 'lost', 'in', 'the', 'U.S.', 'Open', 'final', 'to', 'older', 'sister']",0
"(12, 13)","(15, 16)","Her rules: Chrissy Teigen, right, posed next to designer Lauren Conrad and Ashley Tisdale, left, at the fashionista's New York event on Wednesday where she laid down the law for keeping husband John Legend faithful, saying, No hot nannies, drivers or maids!'   '","['Her', 'rules', ':', 'Chrissy', 'Teigen', ',', 'right', ',', 'posed', 'next', 'to', 'designer', 'Lauren', 'Conrad', 'and', 'Ashley', 'Tisdale', ',', 'left', ',', 'at', 'the', 'fashionista', 's', 'New', 'York', 'event', 'on', 'Wednesday', 'where', 'she', 'laid', 'down', 'the', 'law', 'for', 'keeping', 'husband', 'John', 'Legend', 'faithful', ',', 'saying', ',', '', 'No', 'hot', 'nannies', ',', 'drivers', 'or', 'maids', '!', '', '', '']","['and', 'Ashley', 'Tisdale', ',']","[',', 'left', ',', 'at']",['and'],0
"(44, 44)","(75, 75)","Devoted mum: Katie goes on to insist that she wouldn't change a single thing about her eldest child Harvey but is honest about the amount of work that goes into his day-to-day care      Full of love: Katie says her hectic schedule and busy home life is now second nature   Asked whether Junior and Princess like to get involved and help out with the little ones, Katie quipped back: 'They don't really have a choice!'   Quizzed on how she copes heading up such a big family, she added: 'I think I just love chaos, madness and stress.'   ","['Devoted', 'mum', ':', 'Katie', 'goes', 'on', 'to', 'insist', 'that', 'she', 'would', ""n't"", 'change', 'a', 'single', 'thing', 'about', 'her', 'eldest', 'child', 'Harvey', 'but', 'is', 'honest', 'about', 'the', 'amount', 'of', 'work', 'that', 'goes', 'into', 'his', 'day', '-', 'to', '-', 'day', 'care', '', 'Full', 'of', 'love', ':', 'Katie', 'says', 'her', 'hectic', 'schedule', 'and', 'busy', 'home', 'life', 'is', 'now', 'second', 'nature', '', 'Asked', 'whether', 'Junior', 'and', 'Princess', 'like', 'to', 'get', 'involved', 'and', 'help', 'out', 'with', 'the', 'little', 'ones', ',', 'Katie', 'quipped', 'back', ':', '', 'They', 'do', ""n't"", 'really', 'have', 'a', 'choice', '!', '', '', 'Quizzed', 'on', 'how', 'she', 'copes', 'heading', 'up', 'such', 'a', 'big', 'family', ',', 'she', 'added', ':', '', 'I', 'think', 'I', 'just', 'love', 'chaos', ',', 'madness', 'and', 'stress', '.', '', '']","['says', 'her', 'hectic', 'schedule']","['quipped', 'back', ':', '']","['says', 'her', 'hectic', 'schedule', 'and', 'busy', 'home', 'life', 'is', 'now', 'second', 'nature', '', 'Asked', 'whether', 'Junior', 'and', 'Princess', 'like', 'to', 'get', 'involved', 'and', 'help', 'out', 'with', 'the', 'little', 'ones', ',']",0
"(0, 0)","(34, 34)","Murray reportedly felt 'woozy' after he was hit in the game Friday night, but his coach told worried friends that he was going to be OK    A GoFundMe page for Murray's family had raised thousands of dollars in memory of the popular athlete as of Saturday afternoon   A GoFundMe  page set up to benefit his family and had already raised almost $9,000 as of Saturday afternoon.     '","['Murray', 'reportedly', 'felt', '', 'woozy', '', 'after', 'he', 'was', 'hit', 'in', 'the', 'game', 'Friday', 'night', ',', 'but', 'his', 'coach', 'told', 'worried', 'friends', 'that', 'he', 'was', 'going', 'to', 'be', 'OK', '', 'A', 'GoFundMe', 'page', 'for', 'Murray', 's', 'family', 'had', 'raised', 'thousands', 'of', 'dollars', 'in', 'memory', 'of', 'the', 'popular', 'athlete', 'as', 'of', 'Saturday', 'afternoon', '', 'A', 'GoFundMe', '', 'page', 'set', 'up', 'to', 'benefit', 'his', 'family', 'and', 'had', 'already', 'raised', 'almost', '$', '9,000', 'as', 'of', 'Saturday', 'afternoon', '.', '', '']","['reportedly', 'felt', '', 'woozy']","['s', 'family', 'had', 'raised']","['reportedly', 'felt', '', 'woozy', '', 'after', 'he', 'was', 'hit', 'in', 'the', 'game', 'Friday', 'night', ',', 'but', 'his', 'coach', 'told', 'worried', 'friends', 'that', 'he', 'was', 'going', 'to', 'be', 'OK', '', 'A', 'GoFundMe', 'page', 'for']",0
"(1, 4)","(20, 20)","when Sherilyn Hamilton-Shaw performed Whitney Houston’s power ballad I Didn’t Know My Own Strength   Sherilyn, who hails from Llanelli in South Wales, impressed the judges and audience alike with her powerful vocals and selfless backstory.   ","['when', 'Sherilyn', 'Hamilton', '-', 'Shaw', 'performed', '', 'Whitney', 'Houston', '’s', 'power', 'ballad', 'I', 'Did', 'n’t', 'Know', 'My', 'Own', 'Strength', '', 'Sherilyn', ',', 'who', 'hails', 'from', 'Llanelli', 'in', 'South', 'Wales', ',', 'impressed', 'the', 'judges', 'and', 'audience', 'alike', 'with', 'her', 'powerful', 'vocals', 'and', 'selfless', 'backstory', '.', '']","['performed', '', 'Whitney', 'Houston']","[',', 'who', 'hails', 'from']","['performed', '', 'Whitney', 'Houston', '’s', 'power', 'ballad', 'I', 'Did', 'n’t', 'Know', 'My', 'Own', 'Strength', '']",0
"(64, 65)","(93, 93)","Mark Constantino shot his wife Debby (pictured together) and her boyfriend amid a tense standoff with police, it has been claimed    The couple featured in recent years on the Travel Channel's series, including episodes shot at the Mustang Ranch brothel east of Reno, the Goldfield Hotel and the Market Street Cinema in San Francisco     Mark and Debby Constantino (pictured left and right) had a long history of domestic violence, a police source said   Police today told the New York Post Mr Constantino had killed the pair of them before turning the gun on himself.   ","['Mark', 'Constantino', 'shot', 'his', 'wife', 'Debby', '(', 'pictured', 'together', ')', 'and', 'her', 'boyfriend', 'amid', 'a', 'tense', 'standoff', 'with', 'police', ',', 'it', 'has', 'been', 'claimed', '', 'The', 'couple', 'featured', 'in', 'recent', 'years', 'on', 'the', 'Travel', 'Channel', 's', 'series', ',', 'including', 'episodes', 'shot', 'at', 'the', 'Mustang', 'Ranch', 'brothel', 'east', 'of', 'Reno', ',', 'the', 'Goldfield', 'Hotel', 'and', 'the', 'Market', 'Street', 'Cinema', 'in', 'San', 'Francisco', '', 'Mark', 'and', 'Debby', 'Constantino', '(', 'pictured', 'left', 'and', 'right', ')', 'had', 'a', 'long', 'history', 'of', 'domestic', 'violence', ',', 'a', 'police', 'source', 'said', '', 'Police', 'today', 'told', 'the', 'New', 'York', 'Post', 'Mr', 'Constantino', '', 'had', 'killed', 'the', 'pair', 'of', 'them', 'before', 'turning', 'the', 'gun', 'on', 'himself', '.', '']","['(', 'pictured', 'left', 'and']","['', 'had', 'killed', 'the']","['(', 'pictured', 'left', 'and', 'right', ')', 'had', 'a', 'long', 'history', 'of', 'domestic', 'violence', ',', 'a', 'police', 'source', 'said', '', 'Police', 'today', 'told', 'the', 'New', 'York', 'Post', 'Mr']",1
"(12, 12)","(19, 19)","I'm grateful the Lord took him that way,' said Lee. 'Because the only thing Frank was ever afraid of in his entire life was being a burden to those he loved.'     ","['I', 'm', 'grateful', 'the', 'Lord', 'took', 'him', 'that', 'way', ',', '', 'said', 'Lee', '.', '', 'Because', 'the', 'only', 'thing', 'Frank', 'was', 'ever', 'afraid', 'of', 'in', 'his', 'entire', 'life', 'was', 'being', 'a', 'burden', 'to', 'those', 'he', 'loved', '.', '', '']","['.', '', 'Because', 'the']","['was', 'ever', 'afraid', 'of']","['.', '', 'Because', 'the', 'only', 'thing']",0
"(18, 19)","(77, 78)",He said after cross-checking with the Attorney-General and Commissioner of Justice of Lagos Mr Ade Ipaye the genuity of his court order Mr McEvoy decided to accommodate him and the children at the High Commission office  He said the five days he spent with his children at the British High Commission office afforded him the opportunity to bond with them since 2008 when he saw them last  He said his son Ayodeji Olayinka told him that his mother told them the children that he had died after being drowned  On Monday February 6 2012 his second experience with his in-laws the police and airport officials which made him to conclude that in Nigeria it is still rule of money or influence rather than rule of law happened  According to him he had rebooked his flight from Thursday February 2 to Monday February 6 after paying the penalty for the cancellation and rebooking  ,"['He', 'said', 'after', 'cross', '-', 'checking', 'with', 'the', 'Attorney', '-', 'General', 'and', 'Commissioner', 'of', 'Justice', 'of', 'Lagos', 'Mr', 'Ade', 'Ipaye', 'the', 'genuity', 'of', 'his', 'court', 'order', 'Mr', 'McEvoy', 'decided', 'to', 'accommodate', 'him', 'and', 'the', 'children', 'at', 'the', 'High', 'Commission', 'office', '', 'He', 'said', 'the', 'five', 'days', 'he', 'spent', 'with', 'his', 'children', 'at', 'the', 'British', 'High', 'Commission', 'office', 'afforded', 'him', 'the', 'opportunity', 'to', 'bond', 'with', 'them', 'since', '2008', 'when', 'he', 'saw', 'them', 'last', '', 'He', 'said', 'his', 'son', 'Ayodeji', 'Olayinka', 'told', 'him', 'that', 'his', 'mother', 'told', 'them', 'the', 'children', 'that', 'he', 'had', 'died', 'after', 'being', 'drowned', '', 'On', 'Monday', 'February', '6', '2012', 'his', 'second', 'experience', 'with', 'his', 'in', '-', 'laws', 'the', 'police', 'and', 'airport', 'officials', 'which', 'made', 'him', 'to', 'conclude', 'that', 'in', 'Nigeria', 'it', 'is', 'still', 'rule', 'of', 'money', 'or', 'influence', 'rather', 'than', 'rule', 'of', 'law', 'happened', '', 'According', 'to', 'him', 'he', 'had', 'rebooked', 'his', 'flight', 'from', 'Thursday', 'February', '2', 'to', 'Monday', 'February', '6', 'after', 'paying', 'the', 'penalty', 'for', 'the', 'cancellation', 'and', 'rebooking', '']","['the', 'genuity', 'of', 'his']","['told', 'him', 'that', 'his']","['the', 'genuity', 'of', 'his', 'court', 'order', 'Mr', 'McEvoy', 'decided', 'to', 'accommodate', 'him', 'and', 'the', 'children', 'at', 'the', 'High', 'Commission', 'office', '', 'He', 'said', 'the', 'five', 'days', 'he', 'spent', 'with', 'his', 'children', 'at', 'the', 'British', 'High', 'Commission', 'office', 'afforded', 'him', 'the', 'opportunity', 'to', 'bond', 'with', 'them', 'since', '2008', 'when', 'he', 'saw', 'them', 'last', '', 'He', 'said', 'his', 'son']",0
